text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
"RT Assisi Project St. Francis of Assisi, Patron of Italy, pray for the victims of the earthquake! PrayingForItaly ItalyEarthquake htt ",earthquake," Italy,  Assisi,  Assisi","RT Assisi, Project St. Francis of Assisi, pray for the victims...",7.0557,62,17
God save our people. God pray for these souls. terremoto prayforitaly ,,,"terremoto, italy",3.827,49,6
RT Mixers Army my thoughts amp; prayers are with everyone affected by the earthquake in Italy. Safe stay PrayForItaly ,"earthquake, thoughts",Italy,"Italy, prayForItaly",5.0336,56,5
Hopes Dim for Survivors of Italy Quake; Death Toll Stands at 267 ItalyEarthquake ,,Italy,"Italy, ItalyEarthquake",19.584,52,5
"RT IHSIndiana How To Help Italy Earthquake Victims 8 Ways To Donate Blood, Money And Goods For Relief ItalyEart ","Relief, Earthquake",Italy,"India, Italy",13.2082,57,3
RT WotAustin this is so sad sending my love to everyone affected by the earthquake in Italy PrayForItaly ,earthquake,Italy,"Italy, Italy",15.4815,54,3
RT AP Images Aerial photos show town in Italy reduced to rubble GregorioBorgia ItalyEarthquake ,rubble,Italy,"Italy, GregorioBorgia",3.7936,51,6
RT CRThomasPhD If you are in central Italy please donate blood. Turn your WiFi to OPEN no password . Volunteer. Help if you can. Italy ,,"Italy,  Italy","central Italy, Italy",10.3813,62,4
RT tamaraistone Heartbroken. Sending healing thoughts to one of my favorite places in the world and its lovely people. ,thoughts,,"Heartbroken, Heartland, One of My Favorite Places In The World, Its Lovely People.",7.8716,56,19
Madonna please post a message for Italy ItalyEarthquake prayforitaly ,,Italy,"Italy, prayforitaly",6.5558,46,6
RT dreamofitaly Join a virtualsagra for italyearthquake relief in honor of amatrice and amatriciana ,relief,amatrice,"dreamofitaly, sator, virtualsagra",6.6887,57,11
"RT reportedly This is a collaborative map, showing all points in Italy where aid for ItalyEarthquake is being collected. ",,Italy,Italy,4.045,54,1
RT Onuitalia ItalyEarthquake UNESCO task force Unite4Heritage deployed for first time ,,,"Onuitalia, Italy",4.4666,51,6
Restaurants around the world turn to Amatrices famous pasta to aid recovery ItalyEarthquake ,,,Italy,5.5303,49,1
RT bardolino sun Visiting any NationalMuseum in Venice this Sunday? All money taken will be donated to the victims of the earthquake It ,earthquake,"Venice,  bardolino","NationalMuseum, Lido, Venice",4.7693,60,8
"Questo Mese ItalyEarthquake Relief, Calabria coastal towns and 2017 heritagetour dates ",Relief,"Calabria,  Mese","Questo Mese, Calabria, and the coastal towns",4.7988,54,13
RT BojanowskiW A long sleepless night ahead in Amatrice destroyed by the ItalyEarthquake. We will stay here till the morning . ,destroyed,Amatrice,"Amatrice, Italy",3.4348,60,4
RT Clayton Sandell New DigitalGlobe satellite images show terrible destruction from ItalyEarthquake. This is the town of Amatrice. http ,,Amatrice,"New DigitalGlobe, TechnoClayton, Italy, Amatrice",4.7166,58,15
"RT HeffronDrive Italy You have my heart. My thoughts are with everyone there right now. Love, Kendall PrayForItaly ",thoughts,Italy,Italy,7.1385,58,1
Thoughts and much love to my friends in Italy. ,Thoughts,Italy,Italy,4.3016,42,1
RT ROBZIK Vatican firefighters sent by PopeFrancis to join the rescue team in Central Italy shaken by the earthquake ItalyEarthquake ,"earthquake, rescue",Italy,"RT (Rome), ROBZIK (Italian city)",5.047,58,13
"please, help us, share and donate. 45500 italy prayforitaly terremoto PrayingForItaly ",,italy,Italy,5.2095,56,1
RT tiniskwerl ItalyEarthquake 3 30am 6mi Norcia 247 Dead Same Intensity as 2009 Italy lAquila Earthquake 308 Dead Aftershock ,"Aftershock, Earthquake, Intensity","Italy,  Norcia","Italy, Norcia, lAquila",9.7445,72,8
RT BTRHDEurope Our thoughts amp; prayers go out to Italy. We hope youre all staying safe PrayForItaly Text or call 45500 to donate and ,thoughts,Italy,"Italy, Italy",5.7732,66,3
"prayforitaly TerremotoItalia Always praying for you, Italy. A big hug for all the people that lost they parents. ",,Italy,"Here are the locations identified and formatted in a comma-separated list:, - Ile-de-France, - Terrestre, - Italy",7.7876,59,27
RT Princessofwifi Sending thoughts and prayers to all the people affected here in Italy PrayForItaly ,thoughts,Italy,Italy,4.288,51,1
RT CraigSilverman This photo of a damaged church is not from the earthquake in central Italy italyearthquake ht ,earthquake,Italy,"central italy,italy",7.7808,55,6
My goes out to E 9 ! Heres how you can help victims of the Italy earthquake ItalyEarthquake Italy ItalyQuake ,earthquake,"Italy,  Italy","E 9, Italy, Earthquake 2023",12.6908,57,11
RT SiasRasp How to Help Victims of the Earthquake in Italy PrayForItaly ,Earthquake,Italy,"SiasRasp, victims of the Earthquake in Italy, PrayForItaly",5.0624,50,17
RT memetsimsek Our thoughts amp; prayers are with our friends in Italy after this devastating earthquake. Stay strong! PrayForItaly ,"strong, earthquake, devastating, thoughts",Italy,"In the given sentences, the locations identified are:, - Italy, - Italy, - Italy, - Italy, - Italy, - Italy, So, the comma-separated list is: ""Italy, Italy, Italy, Italy, Italy, Italy"".",42.424,59,49
Thoughts are with those effected by the Earthquake in Italy today. ,"Earthquake, Thoughts",Italy,Italy,4.1583,45,1
Bronxs Little Italy launches earthquake relief fund Italy BronxLittleItaly NYC ItalyEarthquake ArthurAvenue ,"relief, earthquake","Italy,  Italy","Italy, Italy, NYC, Italy, Arthur Avenue, Arthur Avenue",8.83,50,13
RT girlposts my thoughts and prayers go out to everyone in Italy affected by the earthquake today PrayForItaly ,"earthquake, thoughts",Italy,Italy,3.6358,53,1
247 people died in the quake. Shaline pray to Italy with us? PrayForItaly E 9 ,died,Italy,"qua, Italy",4.8548,54,3
from today we will donate 3 euros every Pasta allAmatriciana dish ordered from today for 2 weeks at La Taverna Restaurant italyearthquake ,,Taverna,"pasta allamateriano, la taverna restaurant",5.6791,64,11
RT InLarryxArms Louis Tomlinson pls donate in ITALY PrayForItaly ,,ITALY,Italy,3.8414,51,1
My illustration for Amatrice terremoto ItalyEarthquake earthquake UltimOra Italy mycountry ,earthquake,"Italy,  Amatrice","Italy, Amatrice terremoto, My IllustrationFor",3.1357,50,12
"Search amp; rescue operations still underway in Amatrice, 3 days after ItalyEarthquake terremoto afptv afpfr AFP ","rescue, Search",Amatrice,"Amatrice, ItalyEarthquake",4.499,59,6
RT CeramicsOfItaly Our hearts go out to our friends in Amatrice and Accumoli in wake of this tragedy PrayforItalia ItalyEarthquake http ,tragedy,Amatrice,"Amatrice, Accumoli, Italy",6.2362,63,7
Our thoughts go out to the victims and the communities devastated by the earthquake that struck central Italy this morning. ItalyEarthquake ,"earthquake, thoughts",Italy,"Our thoughts go out to **victims** and **communities**, both devastated by the earthquake in central Italy. Italy is the location from which the earthquake originated.",4.8147,55,34
Strong aftershocks from ItalyEarthquake have left the town of Amatrice all but closed off. Main roads into town blocked by rubble. ,"rubble, Strong",Amatrice,"Italy, Amatie",3.7255,59,4
God bless all those affected by the earthquake in Italy ItalyEarthquake ,earthquake,Italy,"Italy, Earthquake",4.8826,44,4
Prayers for the man above to lean his mercy on the people of Italy affected by the earthquake ItalyEarthquake Italie ,earthquake,Italy,"above ground, Italy, Italy",5.0037,55,6
Prosecutors begin inquiry into italyEarthquake asking why did quake proof school at Amatrice amp; others collapse ,collapse,Amatrice,"Italy, Earthquake, Amatrice, collapsing",2.5595,53,9
RT thebaddestnuna Praying that all my family and friends in Italy are safe and sound PrayForItaly ,,Italy,Italy,6.4559,55,1
"RT JohnCabotRome Whether youre in Rome or abroad, there are many ways to help the victims of the ItalyEarthquake. Learn more ",,Rome,"Rome, Italy, Learn More",3.8856,60,7
"67, 960 raised of 1, 000, 000 goal after 1 day. Italy Earthquake Relief Fund on globalgiving prayforitaly ","Relief, Earthquake",Italy,"Italy, Earthquake Relief Fund, prayforitaly",7.5389,64,11
The Happiness Family continues to pray for those affected by the earthquake in Italy. Sii Forte Italia! prayforitaly ,earthquake,Italy,"Italy, prayforitaly",6.8815,56,6
RT jfkbydbay My prayers to those affected by the strong earthquake in Italy. ItalyEarthquake ,"earthquake, strong",Italy,"Italy, jfkbydbay",6.1332,52,7
RT romewise Head to italy museums Sunday to help ItalyEarthquake victims. museums4italy MiBACT Turismoromaweb ,,italy,"Italy,Museums",23.4939,60,4
