text,disaster,gpe,detected_gpe,response_time,query_tokens,response_tokens
LifeLine Animal Project and Atlanta Humane Society to Hold Post Irma Mega Adoption Event ,,Atlanta,"Atlanta Humane Society, LifeLine Animal Project, Post Irma (likely a location near Atlanta)",7.1536,47,19
Post Hurricane Irma Freebies and Deals for Florida Residents Family Friendly Tampa Bay ,,"Tampa,  Florida","Florida, Tampa Bay",4.5661,45,4
Are you wondering how you can give to Hurricane Irma Relief in southwest Florida? Heres the link Go to ,Relief,Florida,"southwest Florida, hurricane Irma relief, goes to",4.4512,52,10
The fossil fuel industry should pay for destruction wreaked by climatechange Irma Harvey Jose ActOnClimate ,,Harvey,"New York, California, Texas",8.1759,50,6
"Those affected by Hurricanes Harvey and Irma urgently need your help. If you can, please donate now. ",,Harvey,"harley, Irma, Umpqua County",6.7075,51,9
"then organizations like Red Cross will exploit their grief and pain smh, Haiti has never been able to bounce back since the Earthquake ",Earthquake,Haiti,""" Red Cross"", "" Haiti""",4.3515,57,7
See where Florida felt Hurricane Irmas flood damage across the state ,"damage, flood, felt",Florida,Florida,5.5129,43,1
North Korea s latest nuclear test caused a 6.3 magnitude earthquake and triggered widespread landslides ,"earthquake, magnitude",North Korea,"North Korea, south, nuclear",5.7765,51,6
Miami woman delivers her own baby because Irma s powerful winds kept help from getting to her ,powerful,Miami,Miami,4.5122,48,1
ICYMI Some Tampa Bay rivers still under Flood Warning after Irma Listen Florida ,"Warning, Flood","Florida,  Tampa",Florida Tampa Bay Listen Florida,7.5981,45,5
LOOK Tim Duncan delivers on promise of hurricane relief to victims in Virgin Islands via CBSSports Spurs ,relief,Duncan,Virgin Islands,9.8294,50,2
"ShepNewsTeam Please help the people of Highlands County, FL! ! FEMA and RED CROSS still not there after Irma! They need water and electricity! ",,Highlands County,"Highland County, FL, FEMA, RED CROSS",10.0649,62,10
This plane has 11 million of supplies for Irma relief and will take 150 displaced pets from Miami to Oakland today. ,"displaced, relief","Oakland,  Miami","Miami, Oakland",6.6069,55,3
FEMA recommends keeping 3 days worth of water and food in an emergency. Heres what to buy before a hurricane Irma ,emergency,,"FEMA, food, Irma",6.0393,56,6
LITechNews China ramps up earthquake rescue efforts China Injured Killed ,"efforts, rescue, earthquake","China,  China","China, Earthquake Rescue Efforts",5.3063,45,7
. KimKalunian catches up with Westerly native on Irma relief mission with US Coast Guard ,relief,Westerly,"Westerly, Irma",4.8331,51,5
Two friendly stray kitties in Irmas path in the Miami area need shelter during the storm! Can you helpplease? ,shelter,Miami,"Irmas path, Miami",5.0953,56,5
A massive airborne relief effort is underway in the FloridaKeys calling it a humanitarian crisis. Irma Florida FloridaStrong ,"relief, massive",Florida,"FloridaKeys, Florida",10.5188,52,4
"I wasnt in town coincidence not evac amp; thankfully not much damage, but flying in, looked like Miami had been bombed. SO lucky with Irma! ",damage,Miami,"town coincidence, miami",9.5385,62,5
And they say math is hard Houston gt; Harvey Houston Flood Relief by scottthepainter ,"Relief, Flood","Houston,  Harvey,  Houston","Houston, Harvey",6.3287,50,3
"Just when you thought it was safe. San Diego quake could kill 2, 000, cause 40B in damage, study says ",damage,San Diego,"San Diego, quake",6.1785,59,4
This is what the damage in central Florida looked like after Hurricane Irma. ,damage,Florida,central Florida,5.2589,45,2
At 1 33 a magnitude 3.2 earthquake was registered in Monroe County West Virginia about 7 miles west of Union. WVA. ,"earthquake, magnitude","Union,  Virginia,  Monroe County","Monroe County, West Virginia, 7 miles west of Union, WVA",4.0933,61,16
"After Mexico has disaster of their own they rescind aid, really doesnt have shit to do with Trump classic libs and their headlines ",disaster,Mexico,"Mexico, disaster, Trump",4.5402,56,5
RT TolbertTravel Building topples as Irma pummels St. Martin ,,Martin,"""Tolbert Travel Building"", ""St. Martin""",4.2138,46,11
"Despite evacuation orders, MuslimYouthUSA traveled to Florida coming from as far as WI amp; VA Why? To serve as first responders to Irma ",evacuation,Florida,"Florida,WI,VA",5.379,60,5
Hurricane Irma Collier County orders more evacuations in East Naples and North Naples ,,"Naples,  Naples,  Collier County","Collier County, East Naples, North Naples",4.4844,47,9
This dog just saved another dog from the floods of Hurricane Irma. Please pray for the pets of Florida ,pray,Florida,"Hurricane Irma, dog's country, Florida",4.0142,51,9
"In Irmas wake, surveying the damage along the coast New York Times environment ",damage,York,"""Coastal City / State, New York City""",4.0373,47,12
"All eyes are on Florida as Irma strikes. To friends and fans in the storms path, our thoughts are with you. Be safe. ",thoughts,Florida,"Florida, storms path, be safe",3.4458,58,7
11 schools in Miami Dade to distribute free food Friday ,,Miami,"Miami, Miami Dade, Friday",3.8715,42,7
"Hurricane Irma Minnesota family donates 9, 000 pounds of supplies to Immokalee ",,"Immokalee,  Minnesota","Minnesota, Immokalee",5.065,51,6
Walmart set up an emergency operation center in Bentonville to communicate with deliveries in transit to FL 2150bk ,emergency,Bentonville,"Bentonville, FL 2150bk",6.1649,54,9
Miami Dade orders coastal evacuation as Hurricane Irma threatens CLICK BELOW FOR FULL STORY ,evacuation,Miami,"Miami-Dade, Hurricane Irma",3.4442,46,6
Talladega Superspeedway offering free campground for Irma evacuees ,,Talladega,"Talladega, evauees",9.0116,47,9
Irma Update Death toll at 14 Expected to hit south Florida directly Hurricane warning for Cuba ,warning,"Cuba,  Florida","south Florida, Cuba",8.8789,49,4
"JUST IN Pres. Trump plans to visit Florida on Thursday to survey Irma damage and response, White House says. ",damage,"White House,  Florida",Florida,2.9172,53,1
Weve offered up our West Park Place parking lot to support FLSERT amp; FLGuard in Hurricane Irma relief efforts. ,"efforts, relief, support",West Park,"West Park Place, FLSERT Amp & FLGuard, Florida",5.9238,56,13
Hurricane Irma Targets Tampa Bay As Residents Seek Pet Friendly Shelters ,,Tampa,Tampa Bay,13.457,44,3
Irma hit Sunday. Key West was not terribly damaged. Yet people havent been allowed in FOR A WEEK. Yes Sugarloaf Marathon got it bad. But ,,Key West,"Irrawang, Key West, Fora Weekday, Sugarloang",5.2783,64,16
Fort Myers Zone B ordered to evacuate; buses running to shelters Via NBC2 ,,Fort Myers,"Fort Myers, Zone B, Shelters",6.281,46,8
Aid continues to arrive to Cuba in the wake of Irma ,,Cuba,Cuba,4.867,43,2
Damage from Irma may cost West Orange football team its remaining home games WestOrangeFB WestOrange OCPS ,Damage,,"WestOrangeFB, WestOrange OCPS, WestOrange",4.7432,51,11
3.1 Magnitude earthquake along the WV VA border today. Not far from Roanoke. vawx ncwx earthquake ,"earthquake, earthquake, Magnitude",Roanoke,"WV VA, Roanoke",6.0072,57,7
Its high tide in an hour. Irma is knocking hard at the door. Charleston is flooding. Power just failed. Its peeing down. Life in paradise! ,, Charleston,"chareshtee, chareshtee, paradise",4.3279,63,11
Find out how to receive volunteer training Sept 24 to help with the Hurricanes Harvey and Irma cleanup efforts. ,efforts,Harvey,Find out how to receive volunteer training Sept 24 to help with the Hurricanes Harvey and Irma cleanup efforts.,5.1686,52,21
"VIDEO shows flooding in Jacksonville, Florida after Hurricane Irma. ",,"Florida,  Jacksonville","Jacksonville, Florida",4.0875,42,4
Bering Sea Earthquake Alaska Tsunami Warning Canceled ,"Warning, Tsunami, Earthquake",Alaska,"Bering Sea, Alaska, Tsunami Warning, Canceled",4.5891,42,12
Pinellas County Issues Mandatory Evacuation Order Ahead Of Irma ,Evacuation,Pinellas County,"""Pinellas County""",4.7088,43,5
"Monstrous Hurricane Irma kills 14 in Caribbean, heads for Florida ",,Florida,"Caribbean, Florida",3.4565,45,4
IRS expands tax relief to victims of Hurricane Irma throughout Florida. femaregion4 via IRSnews LopezTaxes ,relief,Florida,Florida,6.7382,54,1
1 Miami News Search Businesses Miami Dolphins Players Help High School Team Stranded By Irma Return Home Mia ,Search,"Miami,  Miami","Miami, Miami News Search Businesses, Miami Dolphins Players, High School Team, Stranded, By Irma, Home, Mia",4.7008,50,24
VIDEO We just want to show them theyre loved. TimTebow live on ActionNewsJax at Irma shelter in Jacksonville Florida ,shelter,"Florida,  Jacksonville",Jacksonville Florida,4.6927,58,3
Buyer Beware Harvey and Irma damaged cars could enter used car market ,,Harvey,"Buyer Beware (Harvey) and (Irma) damaged cars could enter used car market, The sentence provided doesn't specify any locations like country, city, or local areas. Therefore, no locations are identified., ---, **Answer:**",4.5757,45,50
STAN LEE Breaks FLORIDA Convention Vow To Help HURRICANE IRMA Victims comics ,,FLORIDA,"FLORIDA, VICTIMS",5.4568,53,7
they raised 500 million for haiti after that earthquake in 2010 and built 6 homes. ,earthquake,haiti,ha isot,6.7478,53,2
"Food bank ships water, more supplies to Florida midwestfoodbank RedCrossCSIL HurricaneHarvey HurricaneIrma ",,Florida,Florida,4.168,54,1
At least seven taxi drivers in northeast Japan have reported picking up the ghost of a person who died in the 2011 earthquake and tsunami. ,"tsunami, earthquake, died",Japan,Northeast Japan,5.4709,59,3
Where Hurricane Irma victims can find food and water in the Tampa Bay area ,,Tampa,"""Tampa Bay""",4.3975,45,4
Florida Nun wields chainsaw to assist in Irma cleanup. ,,Florida,"Florida, Irma",5.4087,43,3
"Trump in Fort Myers, Florida on deaths after HurricaneIrma It was such a small number ",,"Florida,  Fort Myers",","" Fort Myers, Florida "")""",3.6194,49,6
RT Franklin Graham . SamaritansPurse volunteers praying with a family whose home was damaged by Irma in Naples. ,volunteers,"Naples,  Graham,  Franklin","Franklins, S.A., Naples",7.6075,54,8
Can you ask both why didnt President Trump include Pasco in his disaster declaration? Pasco took a direct hit from Irma. People need help. ,disaster,"Pasco,  Pasco",Pasco,3.5073,60,2
For all Florida Residents UHMCHCA has free ice for hurricane Irma victims. ,,Florida,"Florida, UHMCHCA, Florida Residents",6.3723,47,9
Take photos or videos soon after a disaster to establish the extent of the damage. See IRS tips at Harvey Irma ,"damage, disaster",Harvey,harv e ira,6.5753,53,5
Florida sheriff who promised to protect children during hurricane Irma at shelters is promptly sued ,,Florida,"Florida, Shelters",1.5906,46,4
"ICE COLD Budweiser PitbullToddler live at Obriens in Brandon, FL 9p! Benefitting victims of irma ",,Brandon,"Obriens, Brandon",5.0453,60,5
"Instead of helping victims of Hurricane Irma, Florida sheriff plans to arrest those with warrants ",,Florida,Florida,24.766,47,1
WATCH Police officer stops and picks up an American flag in middle of the road during Irma relief efforts Via Coral Springs police ,"efforts, relief",Coral Springs,"Coral Springs, Middle of the Road",3.4871,54,8
Hurricane Irma destruction. I covered the storm for 9 days in South Florida. Image captured at a ,,Florida,"Hurricane Irma, South Florida",6.3309,52,6
Ran into these kids selling lemonade along Alton Road. Their proceeds will benefit the victims of HurricaneIrma. ,,Alton,"Alton Road, HurricaneIrma, the victims of HurricaneIrma",7.0119,55,14
"After the devastating damage of Hurricane Irma, Cuba faces period of darkness. What does darkness mean in this context? Watch to find out. ","damage, devastating",Cuba,"Cuba, Watch",4.8793,58,4
Flooding and damage to the yacht. Good times Charleston. Loved through my first hurricane but thank the lord for insurance! Irma ,damage,Charleston,"Yacht, Chargford, Irma",3.4853,56,7
The death toll from HurricaneIrma rises to 13 as the Category 5 storm barrels towards the Dominican Republic and Haiti. ,,"Haiti,  Dominican Republic","Dominican Republic, Haiti",4.9275,56,5
"Category 5 HurricaneIrma kills 10 in Caribbean, heads for Florida Reuters environment ",,Florida,"Caribbean, Florida",5.308,48,4
The Alachua County Sheriff officers saying a prayer before deploying to provide Irma relief. Prayers of strength from Texas to Florida! ,relief,"Florida,  Alachua County","Alachua County Sheriff officers, Texas, Florida",5.6726,57,10
Mexican volunteers cross Texas border to help Hurricane Harvey victims despite Donald Trump ,volunteers,Harvey,"Texas, Hurricane Harvey",3.3333,45,4
"If your head out to eat for lunch or dinner, support one of these places to support the Houston Flood Relief. ","Relief, Flood, support, support",Houston,Houston,22.5109,54,1
Hurricane Irma Sen. Marco Rubio to host comprehensive recovery assistance center in Immokalee on Friday ,assistance,"Immokalee,  Marco","Marco Rubio, Immokalee,",22.5044,51,8
Dozens killed in China floods as rivers overflow ,,China,"China, rivers",4.2195,40,3
Tim Duncan Raises More Than 2 Million for Hurrican Irma Relief ,Relief,Duncan,Hurrican Irma Relief,8.6725,45,5
"When a devastating earthquake happens in California, dont expect Mexico or others to help us. Our lack of support for Mexico is disgusting ","support, earthquake, devastating","Mexico,  Mexico,  California","California, Mexico",4.6913,56,3
The USS Abraham Lincoln is now positioned off KeyWest amp; helicopters are loading water and supplies for residents after Irma CBSNews ,,Lincoln,"USS Abraham Lincoln, KeyWest",5.561,55,7
SWFL hurricaneirma The latest from Lee County on shelters ,,Lee County,"SWFL, Lee County, shelters",4.7976,42,7
HurricaneIrma kills at least 10 people in Cuba ,,Cuba,"Hurricane Irma, Cuba",3.7776,43,5
Residents return to shredded Florida Keys homes in Irmas deadly wake ,,Florida,"Florida, Irmas deadly",5.8499,43,5
Residents return to Florida Keys as Irma death toll rises ,,Florida,"Florida Keys, United States",4.2483,41,5
Local AirNatlGuard heads to Florida to aid in HurricaneIrma rescue ,rescue,Florida,Local Florida,5.0006,46,2
Praying for all in the path of Irma amp; earthquake Mexico God Bless all ,earthquake,Mexico,"all,earthquake, mexico",3.7267,47,6
"Earthquake Magnitude 4.3 reported offshore Bio Bio, Chile at 2017 09 16 00 41 10 UTC ","Magnitude, Earthquake",Chile,"Bio Bio, Chile",5.7386,60,4
Hurricane Irma State preparing Tampa Bay interstates for evacuations ,,Tampa,"Florida, Interstates, State",5.7826,43,6
Amy Siskind I cant tell you how many pallets of food and water were routed through the airports in Miami and the ports in SF after the earthquake ,earthquake,Miami,"Miami International Airport, San Francisco's Port of54",5.8899,62,10
"news via usatoday Deadly quake, HurricaneKatia a one two punch for Mexico ",,Mexico,"usatoday, japan, gulf of mexico",4.6884,48,9
Proceeds of CaneloGGG will go to Hurricane Harvey and Irma relief efforts in Texas amp; Florida. Thanks to the champions Canelo amp; GGGBoxing ,"efforts, relief","Florida,  Harvey","Texas, Florida",3.6046,67,3
"At the Emergency Operations Center EOC located inside the Launch Control Center, Brady Helms, Wayne Kee, and John Cosat discuss Irma. ",Emergency,Wayne,"EOC, Launch Control Center",11.3616,59,6
Anywhere will do! Race to escape Georgia and Florida with Hurricane Irma approaching as death toll reaches 14 ,,Florida,"Georgia, Florida",3.5171,51,3
Flood rescuer Austin Seth saw call for help on Facebook via sky1876online ,Flood,Austin,"sky1876online, Facebook",6.4601,48,6
Mandatory evacuations Monroe County Updates News Irma HurricaneIrma ,,Monroe County,"""Mandatory Evacuations, Monroe County, Updates, News, Irma Hurricane""",3.7797,43,16
ABC News 90 percent of homes in Florida Keys damaged by Hurricane Irma FEMA. More news ,,Florida,Florida Keys,3.797,49,2
Restoration work continues in Jacksonville. Lots of tree damage. Irma publicpower NewsfromJEA ,damage,Jacksonville,"Jacksonville, JEA",4.7994,50,5
"Live stream Trump surveys Irma damage in Florida, meets with first responders ",damage,Florida,Florida,7.1559,44,1
Im in Chicago which is pretty much Gotham city so someone bring me the Batman or Ill flood the water supply w clown fish. ,flood,Chicago,"Chicago, Gotham city",4.7937,56,4
ToysOutThePram Mexico withdraws hurricane aid after Trump fails condolences for earthquake KRTpro News ,earthquake,Mexico,"Mexico, ToysOutThePram",5.0425,52,7
"Water from Houston flood could carry dangerous infectious bacteria such as Shigella, Legionnaires disease and more. ",flood,Houston,"multiple cities, multiple Chinese cities, multiple Korean cities",23.9666,52,10
Lil Uzi Vert 2017 Captured Diving Into Houston Flood Waters To Rescue Drowning People ,"Rescue, Flood",Houston,"Houston, Floodood",3.1227,52,4
Irma s U. S. death toll rises; residents start to return to Florida coast ,,Florida,"U.S., Florida keys, Irma",3.5996,49,7
Storm surge has caused flooding throughout the state of Florida. Contact us today. hurricanIrma claims flood ,flood,Florida,"Storm surge, Florida, flood, Contact us, United States",4.9309,53,12
Death toll grows to at least 12 in Florida from HurricaneIrma; all 42 bridges across the Keys deemed safe. ,,Florida,"Florida, Keys",7.5286,56,3
"HurricaneIrma horse evacuees can seek refuge at GAnationalfair in Perry, GA. They have 260 stalls still open. ",,Perry,"GAnationalfair, Perry, GA",4.9503,60,8
A Magnitude 8.0 earthquake just struck off the coast of Mexico. At this point Im just praying for every living thing on this planet. ,"earthquake, Magnitude",Mexico,Mexico,4.5027,61,1
"Hurricane Irma relief 14 ways to help storm victims, from Volunteer Florida to Airbnb ",relief,Florida,"Florida, Airbnb",4.212,48,3
Rescue animals seek refugee from Irma in Wisconsin WakeUpWI ,Rescue,Wisconsin,"Irma, Wisconsin, WakeUpWI",4.4137,43,8
Help the Ham Aid Response Effort in Florida and the US Virgin Islands hamradio Due to this busy hurrican ,,Florida,"Florida, US Virgin Islands",6.1932,54,5
"41 Million Affected And 1, 200 Dead By Flooding In India, Bangladesh And Nepal ENVIRONMENT SOCIETY FLOOD NEPAL ",FLOOD,"NEPAL,  Nepal,  Bangladesh,  India","India, Bangladesh, Nepal, NEPAL",6.0936,60,8
St. Martin Struggles to Weather Hurricane Irma s Devastation ,Devastation,Martin,St. Martin,6.1688,45,3
Brave men help rescue a diver who was swept away by flood in WestPalmBeach . Hats off to the real heros. HurricaneIrma Florida ,"flood, rescue",Florida,"WestPalmBeach, Hurricane Irma Florida",14.9848,63,9
"WolrdNews Miami Herald As the Caribbean death toll from Irma rises, region focuses on recoveryMiami HeraldWith 10 people reported dead i ",,Miami,"Wolfram, Miami",4.2493,59,5
Red Cross of SE Colo volunteers head to Florida to help Hurricane Irma victims ,volunteers,Florida,"Red Cross, Colorado, Florida",2.4719,45,6
"Irma will move just east of Tampa. . good news for flooding issues, wind damage and storm surge in the Tampa area ",damage,"Tampa,  Tampa","Tampa, the United States",3.3015,56,6
TAMPA FL Need a ride to a shelter? Uber is offering free rides to open shelters with promo code TBSHELTER HurricaneIrma ,shelter,TAMPA,"""Tampa FL, Uber is offering free rides to open shelters with promo code TBSHELTER HurricaneIrma 4.""",5.2469,60,25
URGENT Irma a Cat 5 again. Track shifts west. FtMyers and Tampa now in direct path! Storm Surge Warning issued for Tampa Bay. flwx ,Warning,"Tampa,  Tampa","FtMyers, Tampa",4.3442,65,6
"THE AFTERMATH OF IRMA Heres a live look at a street in Orlando, where you can see the damage that category 1 ","damage, AFTERMATH",Orlando,ORLANDO,3.4411,59,3
Cuba really got it last night from Irma praying for my family there and everyone in the Caribbean that was affected. ,,Cuba,"Cuba, the origin where Irma came from, and the Caribbean region.",11.0334,54,15
"In Texas, a former Houston Chronicle editor who disappeared after recent flood is found dead in a sand pit ",flood,Houston,"Texas,Houston",1.7367,51,3
MFL continues Flood Warning for Fisheating Creek near Palmdale FL until further notice ,"Warning, Flood",Palmdale,"MFL, Fisheating Creek, Palmdale FL",4.3262,50,13
Harvey victims in Texas still recovering as focus shifts to Irma and Florida news ,,"Florida,  Harvey","Texas, Florida",3.619,46,3
RazorbackRelief Join us Friday from 10am 3pm at the Northwest Arkansas Mall. Well be collecting items for victims of Hurricane Irma. ,,Arkansas,"Northwest Arkansas Mall, Well",4.8267,62,6
Two Florida Nuclear Plants Are in Irma s Projected Path and One Is Already Leaking ,,Florida,"Florida,Ira",4.4998,48,3
Surveying the damage from Hurricane Irma in the Florida Keys yesterday. Headed to StJohnsCounty amp; CityofJax now. ,damage,Florida,"Florida Keys, StJohns County, City of Jax",5.8847,59,12
LATEST Florida Power amp; Light official says about 15 of its customers remain without power following Irma ,,Florida,"Florida, United States",6.005,51,4
Miami Dade public schools host food distribution events after Hurricane Irma ,,Miami,Miami Dade public schools host food distribution events after Hurricane Irma.,6.8925,43,13
"Damage from Hurricane Irma, Harvey Add to Growing U. S. Costs of Climate Change ",Damage,Harvey,"Country: United States, State: Mississippi",4.0336,48,8
"Lakewood Park mostly powerless, still dealing with flooding from Hurricane Irma ",,Lakewood Park,"Lakewood Park, Lakow, Irma",3.5892,45,9
Dreamer dies trying to rescue Harvey flood victims Alonso Guillen died trying to save others. Hes an American. ,"died, flood, rescue",Harvey,Alonso Guillen,4.3636,54,4
ATTENTION NURSES AND ANYONE WHO KNOWS A NURSE Help needed in Florida for HurricaneIrma FEMA Please spread the word FEMA ,,Florida,"Florida, hurricane Irma, U.S.",3.811,60,8
Deaths in Florida Keys takes Irmas death toll to 61 Marocconnected ,,Florida,"Florida Keys, Morocco",3.9739,46,4
"USGS reports a M2.85 earthquake 0km ENE of Pahala, Hawaii on 9 15 17 1 45 44 UTC quake ","earthquake, USGS",Hawaii,"Pahala, Hawaii",6.0141,66,5
Hurricane Irma Vlog 1 Apparent Evacuations Cause Traffic Jams in Miami Miami Video ,,"Miami,  Miami","Miami, Miami",3.2441,51,3
Praying for Florida and all those affected by hurricane Irma. Please stay safe and know we are thinking of you. ,,Florida,Florida,14.167,54,1
If only there was some way to redistribute the flood waters from Harvey irma onto the oregonwildfires ,flood,Harvey,"Harvey Irma, Oregon Wildfires",6.3528,52,7
PSEGLI Crews Leave for Florida to Help Those Affected by HurricaneIrma ,,Florida,Florida,4.3679,49,1
Is he going to turn his Florida home bought with taxpayer into a shelter during Irma? ,shelter,Florida,Florida home,11.0616,48,2
Today on my drive to Columbus I saw more than a dozen HydroOne trucks headed South. ThanksCanada for your assistance with Hurricane Irma. ,assistance,Columbus,Columbus,3.5645,58,3
jmarcboden We are under a wind advisory in Mobile. Irma sucked all the water out of Mobile Bay yesterday. ,,,"Mobile, Mobile Bay",4.5184,55,4
I just saw that India has a flood that has killed thousands and now this? I sure do hope its not the end of the ,flood,India,"India, this?",6.4094,57,4
This Tiny Florida Island Village Is Pulling Together In Irma s Aftermath ,Aftermath,Florida,"Florida, Island, Village",3.7693,45,5
"For those looking for gas stations in Florida, heres an app. Irma Turnpike I 95 I 75 Ocala Orlando Miami Evacuate Evacuation Hurricane ",Evacuation,"Miami,  Orlando,  Ocala,  Florida","Florida, Ocalmao, Orlando, Miami",5.2422,65,10
Patterson and Delap with two goals apiece as Derry defeat Stute in Flood Relief Friendly. ,"Relief, Flood","Derry,  Patterson","Derry, Stute, Flood Relief Friendly",3.8654,53,9
"J. J. Watt has closed the Houston Flood Relief Fund after raising 37, 097, 298 from 209, 429 donors. ","Relief, Flood",Houston,Houston,4.4664,61,1
"Donate to victims of the Mexico earthquake through Bitso BTC, ETH, or XRP no Zcash yet ",earthquake,Mexico,Mexico,12.322,52,1
Hurricane Irma kills 9 as Florida awaits storm KTXS ,,Florida,"Florida,S",4.0411,44,2
Fort Lauderdale permitfees will be waived for the next 90 days for those repairing damage from Hurricane Irma. ,damage,Fort Lauderdale,"Fort Lauderdale, those areas affected by Hurricane Irma.",6.9768,53,10
Now Everyone Can Help Florida and Houston Flood Victims through Brute Bargain s Exceptional Service ,Flood,"Houston,  Florida","Florida, Houston, s",4.8327,49,5
"Volunteer Ministers providing ice, water and hot food to those in need in Clearwater IrmaRecovery HurricaneIrmaAftermath HurricaneIrma ",,Clearwater,"Clearwater, Irma",5.6816,59,4
"Jacksonville Mayor Lenny Curry lifts evacuation orders from Irma, says focus now is recovery and rebuilding. ",evacuation,Jacksonville,"Jacksonville, Irma",8.2395,51,4
The company closed 7 of its 10 Florida properties before Irma; another closed due to loss of power after the storm. HST ,loss,Florida,Florida,8.3681,58,1
More images from S. Ponte Vedra Beach. Homes destroyed by Irma. ActionNewsJax MikeFirstAlert ,destroyed,Ponte Vedra Beach,"S. Ponte Vedra Beach, Homes destroyed by Irma.",11.011,54,13
Daily Beast Hails Poetic Justice of Climate Denier Homes Wrecked by Irma! ,,Justice,"Daily Beast, Poetic Justice, Climate Denier, irregularia",5.0699,49,13
